MODEL	QUERY	N	SCORE
MultipartitieRank	3	10	0.0
MultipartitieRank	3	20	0.0
MultipartitieRank	3	50	0.0
MultipartitieRank	3	100	0.0
MultipartitieRank	3	200	0.0
MultipartitieRank	1	10	0.06666666666666667
MultipartitieRank	1	20	0.06666666666666667
MultipartitieRank	1	50	0.06666666666666667
MultipartitieRank	1	100	0.06666666666666667
MultipartitieRank	1	200	0.13333333333333333
MultipartitieRank	2	10	0.125
MultipartitieRank	2	20	0.125
MultipartitieRank	2	50	0.125
MultipartitieRank	2	100	0.25
MultipartitieRank	2	200	0.25
MultipartitieRank	4	10	0.0
MultipartitieRank	4	20	0.0
MultipartitieRank	4	50	0.0
MultipartitieRank	4	100	0.0
MultipartitieRank	4	200	0.0
MultipartitieRank	5	10	0.0
MultipartitieRank	5	20	0.0
MultipartitieRank	5	50	0.045454545454545456
MultipartitieRank	5	100	0.06818181818181818
MultipartitieRank	5	200	0.06818181818181818
PositionRank	3	10	0.0
PositionRank	3	20	0.0
PositionRank	3	50	0.0
PositionRank	3	100	0.0
PositionRank	3	200	0.0
PositionRank	1	10	0.0
PositionRank	1	20	0.06666666666666667
PositionRank	1	50	0.13333333333333333
PositionRank	1	100	0.13333333333333333
PositionRank	1	200	0.13333333333333333
PositionRank	2	10	0.0
PositionRank	2	20	0.125
PositionRank	2	50	0.25
PositionRank	2	100	0.25
PositionRank	2	200	0.25
PositionRank	4	10	0.0
PositionRank	4	20	0.0
PositionRank	4	50	0.0
PositionRank	4	100	0.0
PositionRank	4	200	0.4
PositionRank	5	10	0.0
PositionRank	5	20	0.0
PositionRank	5	50	0.0
PositionRank	5	100	0.0
PositionRank	5	200	0.022727272727272728
SingleRank	3	10	0.6666666666666666
SingleRank	3	20	0.6666666666666666
SingleRank	3	50	0.6666666666666666
SingleRank	3	100	0.6666666666666666
SingleRank	3	200	0.6666666666666666
SingleRank	1	10	0.06666666666666667
SingleRank	1	20	0.06666666666666667
SingleRank	1	50	0.06666666666666667
SingleRank	1	100	0.06666666666666667
SingleRank	1	200	0.13333333333333333
SingleRank	2	10	0.125
SingleRank	2	20	0.375
SingleRank	2	50	0.5
SingleRank	2	100	0.5
SingleRank	2	200	0.5
SingleRank	4	10	0.0
SingleRank	4	20	0.0
SingleRank	4	50	0.0
SingleRank	4	100	0.0
SingleRank	4	200	0.2
SingleRank	5	10	0.0
SingleRank	5	20	0.0
SingleRank	5	50	0.045454545454545456
SingleRank	5	100	0.045454545454545456
SingleRank	5	200	0.06818181818181818
TFIDF	3	10	0.5
TFIDF	3	20	0.5
TFIDF	3	50	0.5
TFIDF	3	100	0.5
TFIDF	3	200	0.5
TFIDF	1	10	0.06666666666666667
TFIDF	1	20	0.06666666666666667
TFIDF	1	50	0.06666666666666667
TFIDF	1	100	0.13333333333333333
TFIDF	1	200	0.13333333333333333
TFIDF	2	10	0.25
TFIDF	2	20	0.375
TFIDF	2	50	0.5
TFIDF	2	100	0.5
TFIDF	2	200	0.5
TFIDF	4	10	0.2
TFIDF	4	20	0.4
TFIDF	4	50	0.4
TFIDF	4	100	0.4
TFIDF	4	200	0.4
TFIDF	5	10	0.0
TFIDF	5	20	0.0
TFIDF	5	50	0.022727272727272728
TFIDF	5	100	0.045454545454545456
TFIDF	5	200	0.06818181818181818
TextRank	3	10	0.0
TextRank	3	20	0.0
TextRank	3	50	0.0
TextRank	3	100	0.0
TextRank	3	200	0.0
TextRank	1	10	0.0
TextRank	1	20	0.0
TextRank	1	50	0.0
TextRank	1	100	0.0
TextRank	1	200	0.0
TextRank	2	10	0.125
TextRank	2	20	0.25
TextRank	2	50	0.25
TextRank	2	100	0.25
TextRank	2	200	0.25
TextRank	4	10	0.0
TextRank	4	20	0.0
TextRank	4	50	0.2
TextRank	4	100	0.2
TextRank	4	200	0.2
TextRank	5	10	0.045454545454545456
TextRank	5	20	0.045454545454545456
TextRank	5	50	0.045454545454545456
TextRank	5	100	0.06818181818181818
TextRank	5	200	0.11363636363636363
TopicalRank	3	10	0.5
TopicalRank	3	20	0.5
TopicalRank	3	50	0.6666666666666666
TopicalRank	3	100	0.6666666666666666
TopicalRank	3	200	0.6666666666666666
TopicalRank	1	10	0.06666666666666667
TopicalRank	1	20	0.06666666666666667
TopicalRank	1	50	0.06666666666666667
TopicalRank	1	100	0.06666666666666667
TopicalRank	1	200	0.06666666666666667
TopicalRank	2	10	0.25
TopicalRank	2	20	0.375
TopicalRank	2	50	0.375
TopicalRank	2	100	0.375
TopicalRank	2	200	0.5
TopicalRank	4	10	0.2
TopicalRank	4	20	0.2
TopicalRank	4	50	0.2
TopicalRank	4	100	0.2
TopicalRank	4	200	0.2
TopicalRank	5	10	0.022727272727272728
